"strain","AGly_acquired","Col_acquired","Fcyn_acquired","Flq_acquired","Gly_acquired","MLS_acquired","Phe_acquired","Rif_acquired","Sul_acquired","Tet_acquired","Tgc_acquired","Tmt_acquired","Bla_acquired","Bla_inhR_acquired","Bla_ESBL_acquired","Bla_ESBL_inhR_acquired","Bla_Carb_acquired","Bla_chr","SHV_mutations","Omp_mutations","Col_mutations","Flq_mutations"
"24779_2261",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"24780_1004",1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
"24781_2265",1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"24782_2033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"24783_2313",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"24787_2313B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"245780_38M201202",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"245781_49M205234",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"245782_113M207723",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"245783_127A319011",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
"245784_122M205056",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
"245786_20M181791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"245787_115M219616",1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"245788_125M223867",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
"245789_78M205859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"245790_84M195390",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"246213_BSIFC0FS133",1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0
"246248_BSIFCFS2110B",1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"246254_BSIFCFS0133",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"246255_BSIFCFS0280",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255428_BSIFCFS0427",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255429_BSIFCFS0474",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255431_BSIFCFS0576",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255432_BSIFCFS0712",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255433_BSIFCFS965",1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255434_BSIFCFS1341",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255435_BSIFCFS1386",1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"255436_BSIFCFS1408",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255437_BSIFCFS1431A",1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255438_BSIFCFS1431B",1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255439_BSIFCFS1446",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255440_BSIFCFS1462",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255441_BSIFCFS1534",1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255442_BSIFCFS1575",1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255443_BSIFCFS1591",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255444_BSIFCFS1732",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255445_BSIFCFS1809",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255446_BSIFCFS1866",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255447_BSIFCFS2013",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255448_BSIFCFS2112",1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0
"255449_BSIFCFS2201A",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255450_BSIFCFS2201B",1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"255451_BSIFCFS2202",1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"255452_BSIFCFS2261",1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"255453_BSIFCFS2265",1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"31157_BSIFCFS58",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"31158_BSIFCFS563",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1
"31159_BSIFCFS906",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31160_BSIFCFS1424",1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
"31161_BSIFCFS1583",1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"31162_BSIFCFS1722",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31163_BSIFCFS1912",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"31164_BSIFCFS1925",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"31165_BSIFCFS2111",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0
"31166_BSIFCFS2129",1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0
"31168_BSIFCFS2142",1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31169_BSIFCFS2149",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31170_BSIFCFS2155",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31171_BSIFCFS2166",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31173_BSIFCFS2241",1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0
"31174_BSIFCFS2315",1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1
